Label,Alabama_Count ,Alabama_Male ,Alabama_Female ,Alaska_Count ,Alaska_Male ,Alaska_Female ,Arizona_Count ,Arizona_Male ,Arizona_Female ,Arkansas_Count ,Arkansas_Male ,Arkansas_Female ,California_Count ,California_Male ,California_Female ,Colorado_Count ,Colorado_Male ,Colorado_Female ,Connecticut_Count ,Connecticut_Male ,Connecticut_Female ,Delaware_Count ,Delaware_Male ,Delaware_Female ,District of Columbia_Count ,District of Columbia_Male ,District of Columbia_Female ,Florida_Count ,Florida_Male ,Florida_Female ,Georgia_Count ,Georgia_Male ,Georgia_Female ,Hawaii_Count ,Hawaii_Male ,Hawaii_Female ,Idaho_Count ,Idaho_Male ,Idaho_Female ,Illinois_Count ,Illinois_Male ,Illinois_Female ,Indiana_Count ,Indiana_Male ,Indiana_Female ,Iowa_Count ,Iowa_Male ,Iowa_Female ,Kansas_Count ,Kansas_Male ,Kansas_Female ,Kentucky_Count ,Kentucky_Male ,Kentucky_Female ,Louisiana_Count ,Louisiana_Male ,Louisiana_Female ,Maine_Count ,Maine_Male ,Maine_Female ,Maryland_Count ,Maryland_Male ,Maryland_Female ,Massachusetts_Count ,Massachusetts_Male ,Massachusetts_Female ,Michigan_Count ,Michigan_Male ,Michigan_Female ,Minnesota_Count ,Minnesota_Male ,Minnesota_Female ,Mississippi_Count ,Mississippi_Male ,Mississippi_Female ,Missouri_Count ,Missouri_Male ,Missouri_Female ,Montana_Count ,Montana_Male ,Montana_Female ,Nebraska_Count ,Nebraska_Male ,Nebraska_Female ,Nevada_Count ,Nevada_Male ,Nevada_Female ,New Hampshire_Count ,New Hampshire_Male ,New Hampshire_Female ,New Jersey_Count ,New Jersey_Male ,New Jersey_Female ,New Mexico_Count ,New Mexico_Male ,New Mexico_Female ,New York_Count ,New York_Male ,New York_Female ,North Carolina_Count ,North Carolina_Male ,North Carolina_Female ,North Dakota_Count ,North Dakota_Male ,North Dakota_Female ,Ohio_Count ,Ohio_Male ,Ohio_Female ,Oklahoma_Count ,Oklahoma_Male ,Oklahoma_Female ,Oregon_Count ,Oregon_Male ,Oregon_Female ,Pennsylvania_Count ,Pennsylvania_Male ,Pennsylvania_Female ,Rhode Island_Count ,Rhode Island_Male ,Rhode Island_Female ,South Carolina_Count ,South Carolina_Male ,South Carolina_Female ,South Dakota_Count ,South Dakota_Male ,South Dakota_Female ,Tennessee_Count ,Tennessee_Male ,Tennessee_Female ,Texas_Count ,Texas_Male ,Texas_Female ,Utah_Count ,Utah_Male ,Utah_Female ,Vermont_Count ,Vermont_Male ,Vermont_Female ,Virginia_Count ,Virginia_Male ,Virginia_Female ,Washington_Count ,Washington_Male ,Washington_Female ,West Virginia_Count ,West Virginia_Male ,West Virginia_Female ,Wisconsin_Count ,Wisconsin_Male ,Wisconsin_Female ,Wyoming_Count ,Wyoming_Male ,Wyoming_Female ,Puerto Rico_Count ,Puerto Rico_Male ,Puerto Rico_Female ,United States_Count ,United States_Male ,United States_Female 
        Bachelor's degree or higher,N,N,N,N,N,N,970,337,633,519,407,112,"22,074","10,951","11,123",962,536,426,N,N,N,N,N,N,N,N,N,"3,308",922,"2,386","1,169",296,873,"11,973","4,797","7,176",N,N,N,952,529,423,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,694,292,402,N,N,N,N,N,N,"2,810","1,260","1,550",N,N,N,N,N,N,N,N,N,949,286,663,"1,500",758,742,N,N,N,"1,482",892,590,285,181,104,"1,803",996,807,705,218,487,N,N,N,N,N,N,N,N,N,N,N,N,"3,633","1,323","2,310","2,606","1,627",979,N,N,N,"1,188",493,695,"3,359",995,"2,364",N,N,N,N,N,N,N,N,N,N,N,N,"71,507","32,507","39,000"
    Some other race alone,"36,540","19,497","17,043","6,790","3,022","3,768","223,940","113,285","110,655","38,425","21,126","17,299","3,279,489","1,666,748","1,612,741","128,870","68,706","60,164","121,383","59,628","61,755","12,058","6,448","5,610","17,430","9,019","8,411","468,004","228,878","239,126","174,770","93,324","81,446","15,453","8,371","7,082","37,977","19,347","18,630","422,033","212,526","209,507","85,178","46,237","38,941","17,543","8,956","8,587","46,958","24,591","22,367","21,419","10,852","10,567","39,604","21,436","18,168","3,042","1,596","1,446","172,165","91,030","81,135","180,134","87,971","92,163","64,422","32,018","32,404","57,270","29,606","27,664","14,862","7,854","7,008","41,151","21,430","19,721","5,369","2,989","2,380","26,006","14,968","11,038","190,619","98,845","91,774","5,977","3,569","2,408","342,229","170,018","172,211","126,817","63,085","63,732","1,060,782","517,789","542,993","185,783","95,206","90,577","4,140","1,902","2,238","71,858","37,841","34,017","51,498","27,643","23,855","85,411","46,384","39,027","196,555","99,397","97,158","36,544","17,983","18,561","60,585","33,421","27,164","3,771","2,040","1,731","52,512","28,214","24,298","1,030,092","530,882","499,210","70,693","37,381","33,312",N,N,N,"141,159","70,763","70,396","197,368","104,603","92,765","3,128","2,214",914,"69,021","37,228","31,793","6,722","4,294","2,428","343,800","162,041","181,759","9,752,522","4,962,511","4,790,011"
        High school graduate or higher,"18,878","9,296","9,582","5,731","2,710","3,021","156,950","78,541","78,409","20,033","10,717","9,316","2,028,988","1,021,567","1,007,421","94,591","49,310","45,281","83,995","40,422","43,573","7,167","3,516","3,651","12,079","5,823","6,256","350,824","167,244","183,580","100,698","51,630","49,068","13,416","7,150","6,266","22,907","11,350","11,557","287,200","143,547","143,653","52,678","28,546","24,132","11,337","5,440","5,897","28,628","15,438","13,190","12,056","5,549","6,507","27,246","14,886","12,360","2,611","1,267","1,344","97,886","48,608","49,278","129,421","61,408","68,013","43,882","21,741","22,141","37,887","19,509","18,378","7,936","4,371","3,565","30,148","14,987","15,161","4,196","2,699","1,497","15,784","8,712","7,072","119,616","62,076","57,540","5,146","3,176","1,970","237,662","116,476","121,186","93,840","45,368","48,472","721,103","351,811","369,292","99,506","49,178","50,328","3,525","1,421","2,104","50,446","25,619","24,827","28,542","15,052","13,490","53,409","28,020","25,389","124,030","60,663","63,367","24,185","11,805","12,380","32,329","16,808","15,521","2,682","1,299","1,383","29,835","15,830","14,005","638,279","321,059","317,220","46,594","23,899","22,695",N,N,N,"92,306","46,136","46,170","121,354","60,427","60,927","2,605","1,907",698,"44,874","25,186","19,688","5,487","3,375","2,112","261,842","113,553","148,289","6,283,268","3,142,888","3,140,380"
        Bachelor's degree or higher,"3,942","1,977","1,965","1,178",468,710,"25,139","12,264","12,875","2,873","1,189","1,684","376,014","172,212","203,802","20,622","9,883","10,739","17,384","7,872","9,512","1,632",915,717,"5,907","3,216","2,691","92,218","42,566","49,652","24,671","11,906","12,765","3,843","1,805","2,038","2,853","1,100","1,753","56,586","24,575","32,011","7,883","4,594","3,289","2,472",834,"1,638","4,713","2,295","2,418","2,422",790,"1,632","5,376","2,921","2,455",857,304,553,"22,072","9,477","12,595","30,608","14,194","16,414","10,661","6,238","4,423","9,594","4,226","5,368","1,841",642,"1,199","7,231","3,291","3,940","1,481","1,013",468,"1,994","1,166",828,"16,728","7,419","9,309","1,088",809,279,"52,819","21,436","31,383","16,220","7,364","8,856","172,193","74,407","97,786","21,217","8,812","12,405",158,72,86,"11,628","5,276","6,352","4,266","2,025","2,241","10,700","4,609","6,091","21,178","9,788","11,390","3,850","1,644","2,206","7,472","4,003","3,469","1,283",550,733,"8,721","4,134","4,587","130,312","59,317","70,995","8,460","4,495","3,965",N,N,N,"27,780","13,399","14,381","23,458","8,763","14,695",456,428,28,"9,242","4,898","4,344",270,177,93,"82,322","29,260","53,062","1,294,122","587,951","706,171"
    Two or more races,"39,473","17,280","22,193","22,413","11,019","11,394","122,271","64,293","57,978","33,858","16,031","17,827","935,420","467,042","468,378","104,674","48,679","55,995","58,085","29,314","28,771","9,900","5,265","4,635","13,127","5,490","7,637","283,975","133,226","150,749","108,327","53,073","55,254","166,296","87,424","78,872","25,837","12,935","12,902","144,592","72,200","72,392","61,423","29,833","31,590","24,563","11,636","12,927","41,525","18,989","22,536","32,799","14,939","17,860","41,559","19,528","22,031","14,470","6,520","7,950","91,388","41,734","49,654","113,285","53,745","59,540","118,032","56,132","61,900","67,207","32,066","35,141","15,831","7,197","8,634","66,755","32,825","33,930","16,804","7,969","8,835","18,136","9,517","8,619","66,882","30,952","35,930","12,804","6,105","6,699","112,926","54,431","58,495","33,989","15,947","18,042","326,564","157,552","169,012","110,659","49,248","61,411","10,065","5,366","4,699","126,022","61,469","64,553","139,026","68,143","70,883","103,053","50,958","52,095","131,353","61,570","69,783","18,859","9,513","9,346","42,843","20,567","22,276","9,997","5,341","4,656","56,291","27,058","29,233","357,572","175,728","181,844","37,008","20,119","16,889","7,602","4,034","3,568","127,448","63,809","63,639","206,101","107,793","98,308","13,045","5,759","7,286","48,265","22,003","26,262","5,495","3,169","2,326","155,118","71,763","83,355","4,895,894","2,392,535","2,503,359"
        High school graduate or higher,"34,010","15,642","18,368","21,566","10,487","11,079","108,044","56,332","51,712","29,024","14,041","14,983","833,070","415,609","417,461","95,767","44,154","51,613","48,608","24,217","24,391","8,984","4,594","4,390","12,380","5,024","7,356","247,541","115,183","132,358","94,503","45,409","49,094","158,413","83,529","74,884","23,338","12,053","11,285","131,054","64,065","66,989","54,305","25,847","28,458","22,722","10,724","11,998","37,846","17,215","20,631","28,385","12,897","15,488","36,251","16,723","19,528","12,839","5,782","7,057","85,261","38,408","46,853","94,901","44,456","50,445","106,331","50,790","55,541","63,325","29,774","33,551","13,799","5,779","8,020","59,718","28,483","31,235","15,849","7,347","8,502","17,197","9,097","8,100","59,610","26,680","32,930","11,371","5,862","5,509","100,948","48,102","52,846","31,084","14,685","16,399","275,398","132,915","142,483","99,500","43,691","55,809","9,305","5,324","3,981","111,418","53,662","57,756","124,143","59,924","64,219","94,192","45,076","49,116","116,527","54,450","62,077","15,432","7,642","7,790","38,351","17,980","20,371","8,843","4,281","4,562","49,718","24,264","25,454","315,675","154,590","161,085","34,659","19,109","15,550","5,757","2,558","3,199","117,327","59,720","57,607","188,985","98,015","90,970","11,517","5,165","6,352","45,354","20,611","24,743","4,983","2,681","2,302","117,806","52,704","65,102","4,365,128","2,120,648","2,244,480"
        Bachelor's degree or higher,"12,957","6,151","6,806","6,545","1,902","4,643","35,772","17,159","18,613","8,580","4,122","4,458","340,284","162,840","177,444","40,458","18,013","22,445","18,003","8,902","9,101","3,377","1,714","1,663","9,829","3,512","6,317","87,967","37,668","50,299","39,521","16,782","22,739","44,758","19,805","24,953","10,055","5,168","4,887","56,449","25,810","30,639","16,428","7,289","9,139","7,129","3,270","3,859","11,433","5,125","6,308","8,781","3,567","5,214","11,117","5,025","6,092","4,594","1,344","3,250","40,174","16,831","23,343","45,924","20,066","25,858","35,383","15,260","20,123","20,984","10,707","10,277","4,388","1,469","2,919","20,496","9,129","11,367","6,601","3,225","3,376","5,518","2,760","2,758","16,670","6,959","9,711","4,104","2,062","2,042","44,807","20,465","24,342","9,022","3,543","5,479","116,619","52,529","64,090","37,199","14,436","22,763","1,704",881,823,"31,781","14,656","17,125","32,366","13,395","18,971","33,617","14,802","18,815","39,892","17,669","22,223","5,776","3,015","2,761","12,659","5,169","7,490","2,419","1,279","1,140","17,580","7,923","9,657","119,580","56,550","63,030","13,034","7,219","5,815","2,525","1,059","1,466","50,462","23,713","26,749","68,564","34,653","33,911","3,113","1,532","1,581","15,211","6,296","8,915","1,120",573,547,"42,281","16,246","26,035","1,633,329","744,993","888,336"
    Hispanic or Latino Origin,"104,045","52,718","51,327","28,365","14,164","14,201","1,292,262","642,550","649,712","117,900","61,544","56,356","9,150,608","4,561,513","4,589,095","712,267","360,452","351,815","347,589","169,480","178,109","49,372","25,600","23,772","50,141","25,515","24,626","3,773,205","1,830,278","1,942,927","546,665","281,839","264,826","77,881","38,729","39,152","115,826","59,727","56,099","1,256,316","641,715","614,601","247,337","127,562","119,775","94,822","49,606","45,216","177,719","90,398","87,321","84,517","44,934","39,583","145,024","76,536","68,488","13,580","6,444","7,136","358,740","186,063","172,677","486,528","236,084","250,444","273,449","139,152","134,297","158,254","81,682","76,572","46,120","24,737","21,383","138,178","71,480","66,698","22,102","10,472","11,630","106,780","55,913","50,867","512,330","258,821","253,509","29,638","15,316","14,322","1,134,354","561,602","572,752","630,721","306,926","323,795","2,359,532","1,139,722","1,219,810","513,662","260,622","253,040","15,357","7,534","7,823","247,310","126,337","120,973","215,930","112,513","103,417","301,623","156,907","144,716","544,225","272,140","272,085","97,435","48,267","49,168","157,206","82,791","74,415","16,720","8,329","8,391","188,951","98,748","90,203","6,538,918","3,251,951","3,286,967","233,666","117,612","116,054","5,638","2,813","2,825","465,976","235,418","230,558","509,771","265,051","244,720","14,106","6,553","7,553","210,204","108,234","101,970","30,212","16,024","14,188","2,261,008","1,041,297","1,219,711","34,949,077","17,427,118","17,521,959"
        High school graduate or higher,"63,758","30,235","33,523","24,401","12,003","12,398","918,531","453,918","464,613","69,198","35,416","33,782","6,076,540","2,998,364","3,078,176","535,637","266,986","268,651","256,913","122,279","134,634","30,738","15,010","15,728","40,499","19,997","20,502","3,002,212","1,435,434","1,566,778","351,767","173,491","178,276","71,006","35,259","35,747","79,646","39,764","39,882","895,411","453,782","441,629","172,907","87,603","85,304","64,035","32,770","31,265","121,553","60,108","61,445","59,393","30,444","28,949","106,766","55,189","51,577","12,213","5,500","6,713","241,003","118,532","122,471","356,159","169,947","186,212","206,632","103,607","103,025","118,706","60,645","58,061","31,263","16,320","14,943","107,469","54,785","52,684","18,714","9,175","9,539","67,527","33,515","34,012","343,491","175,252","168,239","23,318","11,601","11,717","855,163","416,597","438,566","491,970","238,978","252,992","1,713,541","825,309","888,232","322,675","155,266","167,409","12,913","6,212","6,701","188,167","91,820","96,347","136,421","68,182","68,239","207,828","104,891","102,937","396,845","192,773","204,072","69,128","33,575","35,553","103,433","50,122","53,311","13,509","6,605","6,904","119,183","59,452","59,731","4,465,125","2,189,798","2,275,327","174,694","86,798","87,896","4,996","2,526","2,470","341,666","172,758","168,908","353,211","175,598","177,613","12,195","5,577","6,618","149,020","76,069","72,951","24,557","12,519","12,038","1,778,471","791,376","987,095","24,623,646","12,088,356","12,535,290"
        Bachelor's degree or higher,"17,079","8,835","8,244","5,641","2,033","3,608","179,441","82,893","96,548","11,606","5,261","6,345","1,315,780","591,833","723,947","131,731","61,219","70,512","61,954","27,897","34,057","6,872","2,271","4,601","26,064","13,606","12,458","969,573","432,336","537,237","104,935","46,924","58,011","17,930","8,291","9,639","14,675","6,543","8,132","210,903","96,935","113,968","38,611","20,218","18,393","13,097","6,470","6,627","25,086","10,194","14,892","16,690","7,740","8,950","25,254","12,498","12,756","5,139","1,883","3,256","78,756","35,679","43,077","101,234","46,086","55,148","59,009","28,505","30,504","36,057","17,883","18,174","5,453","2,965","2,488","31,595","14,249","17,346","5,923","3,703","2,220","14,344","7,022","7,322","54,473","25,059","29,414","7,396","3,796","3,600","238,863","102,688","136,175","103,921","45,042","58,879","497,085","219,364","277,721","87,258","37,780","49,478","2,661","1,188","1,473","50,050","22,019","28,031","25,981","12,986","12,995","48,131","21,273","26,858","89,938","40,934","49,004","13,985","6,740","7,245","28,326","12,967","15,359","4,271","2,319","1,952","34,989","16,434","18,555","1,055,087","481,537","573,550","36,557","18,218","18,339","1,844",887,957,"122,518","57,460","65,058","91,006","42,746","48,260","3,180","1,443","1,737","32,728","15,150","17,578","3,418","1,427","1,991","613,506","230,311","383,195","6,164,098","2,791,429","3,372,669"
MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population 25 years and over with earnings,"37,217","45,762","30,659","47,809","52,364","40,605","39,956","44,470","34,293","35,215","40,781","30,148","45,095","50,839","38,688","46,887","55,136","38,201","50,788","59,349","42,046","43,164","50,632","37,424","71,361","77,356","66,477","36,021","40,688","31,616","40,312","46,313","34,251","44,557","50,142","40,256","36,445","45,013","28,586","45,015","52,301","36,806","39,833","47,393","31,687","41,268","49,273","33,723","41,181","49,198","33,378","37,674","44,055","31,988","37,599","47,438","30,864","39,550","45,120","33,623","52,011","59,540","46,552","52,470","61,632","46,178","40,450","48,652","32,129","47,050","53,404","40,309","32,574","40,549","27,427","40,078","46,379","33,514","36,953","43,604","30,649","41,488","48,359","35,161","39,505","42,200","35,206","47,392","54,997","40,315","51,786","61,151","42,862","35,284","41,281","30,113","47,645","52,482","41,655","38,534","43,126","32,807","43,865","51,738","35,625","40,586","47,916","32,696","38,088","46,073","31,078","40,774","47,450","34,948","42,229","50,623","35,690","46,060","51,838","40,366","37,727","44,366","31,677","38,646","45,154","31,822","37,610","44,215","31,983","40,895","48,069","32,862","41,679","53,216","31,142","41,496","46,037","37,659","46,873","54,616","40,007","48,567","56,983","39,621","35,440","41,832","28,228","42,222","50,185","36,278","40,800","51,903","31,119","18,587","18,521","18,651","41,801","50,016","35,728"
        Less than high school graduate,"22,395","27,717","17,325","23,264","26,958","20,174","25,701","30,050","20,966","25,695","29,142","20,921","25,949","30,720","20,245","30,968","39,266","20,379","24,426","26,992","21,442","31,024","39,075","19,243","30,883","36,028","22,967","23,292","26,745","19,005","25,479","29,218","20,170","31,620","32,580","30,434","27,667","32,542","19,448","27,186","31,539","21,851","27,765","33,430","20,259","30,381","35,996","20,977","26,549","32,358","19,922","24,631","29,567","18,320","22,913","29,653","17,030","25,504","30,174","19,544","30,300","35,785","22,166","30,693","35,290","24,140","23,192","27,318","18,494","28,327","32,477","22,271","20,764","25,766","15,894","24,831","29,841","18,587","27,804","35,554","21,543","30,298","35,188","22,998","29,609","32,156","22,654","30,119","33,161","24,584","28,427","31,983","21,040","21,016","26,968","13,216","26,036","30,358","21,109","23,976","27,737","18,370","28,756","38,198","20,968","24,836","30,803","18,091","24,760","30,376","18,173","27,408","31,394","22,350","26,343","32,445","18,646","31,893","35,764","29,139","23,085","28,454","17,126","22,131","25,485","16,298","25,365","28,277","19,620","25,282","30,785","17,734","28,028","34,272","21,459","27,052","29,144","20,958","23,892","30,319","18,704","30,627","34,325","23,607","20,200","24,169","15,848","29,561","34,153","22,373","29,982","34,420","17,688","11,259","11,756","9,167","25,876","30,725","20,046"
        High school graduate (includes equivalency),"30,845","36,803","23,164","36,522","41,799","27,842","31,371","35,931","26,291","30,057","35,069","23,669","33,494","39,805","27,455","35,537","41,076","27,236","37,017","43,576","28,562","33,671","41,265","28,688","31,768","31,954","31,600","30,064","33,051","24,581","31,184","36,335","25,338","35,573","39,809","30,539","31,395","37,145","23,548","32,304","40,659","25,628","32,101","40,733","25,562","33,066","41,116","25,218","32,106","39,243","24,087","31,313","37,159","23,446","30,786","41,161","22,078","31,798","38,043","25,700","36,700","42,122","30,657","39,463","46,189","30,993","31,028","37,006","24,386","35,337","41,380","27,252","27,158","34,438","20,904","31,297","36,978","25,444","30,843","40,076","21,504","32,174","39,866","25,117","32,879","37,179","30,016","37,820","44,601","30,207","35,048","41,710","27,397","29,002","32,595","23,892","33,491","40,563","27,124","30,369","35,532","24,257","34,343","43,428","23,742","31,514","38,915","24,621","31,766","40,027","24,565","31,451","36,668","26,233","32,567","40,980","25,774","36,883","42,256","31,177","30,592","36,972","23,893","31,306","39,083","24,381","30,596","36,039","24,529","31,234","37,443","24,096","34,667","45,268","26,565","32,425","37,496","26,935","32,366","40,060","26,429","36,441","42,508","29,280","30,573","40,176","22,331","33,547","40,729","27,155","36,929","51,652","26,036","15,055","15,866","12,521","31,956","38,906","25,829"
        Some college or associate's degree,"35,107","45,748","28,180","47,878","55,895","37,463","37,016","42,462","31,661","31,778","40,116","27,318","41,090","48,759","35,131","40,819","50,046","31,843","42,884","52,000","36,344","38,048","45,961","34,361","44,248","47,906","42,343","34,752","40,306","31,099","35,846","45,234","30,197","41,842","48,032","37,413","33,984","44,231","26,485","39,400","50,143","31,616","37,154","47,787","30,546","39,073","47,472","31,540","36,994","46,595","29,867","35,326","43,138","30,323","35,064","46,730","29,322","36,274","43,064","30,404","44,022","51,521","38,518","42,066","51,959","35,925","36,272","45,243","30,232","41,858","51,086","34,926","31,459","41,180","26,246","36,127","42,579","30,554","33,040","40,902","27,266","38,209","47,080","30,951","40,057","44,629","34,179","42,368","52,182","35,159","44,983","52,881","36,865","32,187","40,860","27,071","41,421","50,095","35,792","34,861","41,280","30,196","41,818","51,913","31,948","36,821","46,524","30,594","35,955","45,929","29,667","36,817","44,627","31,028","39,075","46,600","31,757","40,363","49,079","36,215","35,994","42,897","30,074","36,732","45,548","31,024","35,518","42,157","30,435","38,121","46,823","31,655","37,247","48,412","28,822","39,882","49,067","32,556","40,071","47,468","33,305","42,030","51,279","35,000","32,380","41,817","26,791","40,482","49,314","32,535","36,885","51,650","28,930","17,187","18,764","16,098","38,125","46,610","31,644"
        Bachelor's degree,"50,643","65,228","40,785","53,033","63,483","47,286","52,077","64,393","45,607","46,964","58,731","40,269","65,078","76,836","55,499","58,229","70,702","47,480","64,143","77,320","51,685","56,603","66,934","50,667","75,222","81,168","70,263","47,810","57,084","41,748","53,662","67,400","46,720","52,183","61,876","47,277","46,364","61,193","37,485","60,357","72,449","50,542","50,630","62,463","42,026","51,751","62,367","43,760","51,678","65,370","44,206","50,711","60,151","42,327","50,699","62,789","42,914","47,375","55,497","40,739","65,193","75,922","56,508","65,373","80,139","54,966","54,634","68,559","43,105","60,316","71,112","50,964","44,148","52,916","38,744","51,217","61,474","42,592","42,150","50,386","37,872","50,779","61,412","43,469","50,293","56,892","44,728","60,544","74,041","51,001","67,038","81,012","57,310","45,109","50,762","40,904","62,699","72,237","55,471","50,977","65,048","43,584","51,854","62,148","46,338","53,680","65,725","46,262","47,828","61,013","40,789","52,498","65,282","44,295","55,326","66,071","47,119","57,398","64,281","50,834","50,734","64,236","41,000","47,630","52,350","41,503","50,633","62,661","41,901","56,853","70,512","50,132","51,611","69,239","36,800","47,170","53,382","41,482","61,529","77,025","50,898","62,447","80,202","50,833","45,304","52,162","40,483","52,425","65,349","46,401","47,962","56,735","36,361","24,668","29,078","22,596","56,344","69,201","47,895"
        Graduate or professional degree,"60,922","81,364","52,783","71,947","79,070","67,985","69,902","85,468","60,111","62,027","75,326","56,093","92,334","110,857","79,489","71,616","90,789","60,678","85,175","102,157","72,333","70,579","84,397","61,011","101,956","112,480","94,472","62,425","80,861","53,455","70,027","88,819","61,467","72,035","80,771","68,846","60,816","69,796","52,416","76,363","94,878","64,855","65,941","81,516","54,866","66,887","79,149","61,074","62,008","77,375","55,868","60,270","72,106","54,290","60,992","80,954","52,032","60,347","70,482","52,855","89,066","105,607","77,338","85,717","102,236","75,099","71,623","89,535","61,322","75,925","90,214","68,321","56,208","75,537","51,043","63,368","80,008","55,534","58,287","71,637","50,076","61,853","76,735","55,585","66,105","80,075","57,018","71,884","90,441","62,026","92,098","113,315","76,287","62,501","81,914","56,221","81,041","96,831","71,954","65,620","87,085","55,612","61,288","71,399","57,060","71,180","85,297","62,258","61,092","81,330","51,547","70,854","87,516","60,994","73,805","89,986","65,393","76,827","89,676","68,319","60,788","77,210","53,390","57,244","67,214","52,222","62,832","80,936","55,152","72,195","94,914","61,195","76,099","91,781","56,886","61,617","75,955","55,280","85,582","107,620","67,071","86,167","104,036","71,297","58,802","72,779","52,299","67,112","78,021","61,368","61,288","61,460","61,187","34,649","43,842","31,040","75,495","93,998","63,912"
