Label,Alabama_Count,Alabama_Male,Alabama_Female,Alaska_Count,Alaska_Male,Alaska_Female,Arizona_Count,Arizona_Male,Arizona_Female,Arkansas_Count,Arkansas_Male,Arkansas_Female,California_Count,California_Male,California_Female,Colorado_Count,Colorado_Male,Colorado_Female,Connecticut_Count,Connecticut_Male,Connecticut_Female,Delaware_Count,Delaware_Male,Delaware_Female,District of Columbia_Count,District of Columbia_Male,District of Columbia_Female,Florida_Count,Florida_Male,Florida_Female,Georgia_Count,Georgia_Male,Georgia_Female,Hawaii_Count,Hawaii_Male,Hawaii_Female,Idaho_Count,Idaho_Male,Idaho_Female,Illinois_Count,Illinois_Male,Illinois_Female,Indiana_Count,Indiana_Male,Indiana_Female,Iowa_Count,Iowa_Male,Iowa_Female,Kansas_Count,Kansas_Male,Kansas_Female,Kentucky_Count,Kentucky_Male,Kentucky_Female,Louisiana_Count,Louisiana_Male,Louisiana_Female,Maine_Count,Maine_Male,Maine_Female,Maryland_Count,Maryland_Male,Maryland_Female,Massachusetts_Count,Massachusetts_Male,Massachusetts_Female,Michigan_Count,Michigan_Male,Michigan_Female,Minnesota_Count,Minnesota_Male,Minnesota_Female,Mississippi_Count,Mississippi_Male,Mississippi_Female,Missouri_Count,Missouri_Male,Missouri_Female,Montana_Count,Montana_Male,Montana_Female,Nebraska_Count,Nebraska_Male,Nebraska_Female,Nevada_Count,Nevada_Male,Nevada_Female,New Hampshire_Count,New Hampshire_Male,New Hampshire_Female,New Jersey_Count,New Jersey_Male,New Jersey_Female,New Mexico_Count,New Mexico_Male,New Mexico_Female,New York_Count,New York_Male,New York_Female,North Carolina_Count,North Carolina_Male,North Carolina_Female,North Dakota_Count,North Dakota_Male,North Dakota_Female,Ohio_Count,Ohio_Male,Ohio_Female,Oklahoma_Count,Oklahoma_Male,Oklahoma_Female,Oregon_Count,Oregon_Male,Oregon_Female,Pennsylvania_Count,Pennsylvania_Male,Pennsylvania_Female,Rhode Island_Count,Rhode Island_Male,Rhode Island_Female,South Carolina_Count,South Carolina_Male,South Carolina_Female,South Dakota_Count,South Dakota_Male,South Dakota_Female,Tennessee_Count,Tennessee_Male,Tennessee_Female,Texas_Count,Texas_Male,Texas_Female,Utah_Count,Utah_Male,Utah_Female,Vermont_Count,Vermont_Male,Vermont_Female,Virginia_Count,Virginia_Male,Virginia_Female,Washington_Count,Washington_Male,Washington_Female,West Virginia_Count,West Virginia_Male,West Virginia_Female,Wisconsin_Count,Wisconsin_Male,Wisconsin_Female,Wyoming_Count,Wyoming_Male,Wyoming_Female,Puerto Rico_Count,Puerto Rico_Male,Puerto Rico_Female
    High school graduate or higher,"18,505","9,736","8,769","6,745","3,651","3,094","164,472","82,067","82,405","21,390","11,290","10,100","2,124,017","1,074,075","1,049,942","90,990","47,388","43,602","76,800","37,488","39,312","6,084","2,901","3,183","11,692","6,202","5,490","297,224","145,384","151,840","79,150","40,930","38,220","11,072","5,314","5,758","18,354","10,157","8,197","267,708","138,641","129,067","43,849","22,769","21,080","11,453","5,650","5,803","22,906","12,558","10,348","13,805","8,478","5,327","26,279","13,475","12,804",N,N,N,"90,011","46,574","43,437","111,108","55,162","55,946","40,032","18,953","21,079","32,005","17,577","14,428","8,205","5,072","3,133","26,642","13,455","13,187","2,256","1,344",912,"9,637","5,722","3,915","119,482","57,389","62,093","3,173","2,105","1,068","235,552","114,389","121,163","73,620","36,542","37,078","724,416","343,797","380,619","86,904","42,524","44,380","3,388","1,373","2,015","44,314","23,490","20,824","33,041","17,755","15,286","40,992","19,981","21,011","97,717","46,982","50,735","20,385","9,416","10,969","26,974","15,115","11,859","2,332","1,612",720,"23,347","12,875","10,472","615,083","312,870","302,213","57,691","30,259","27,432",N,N,N,"77,777","36,868","40,909","98,905","53,824","45,081","3,704","1,741","1,963","42,744","23,083","19,661","3,785","1,931","1,854","260,091","115,522","144,569"
    Bachelor's degree or higher,"3,160",898,"2,262",890,270,620,"26,078","11,562","14,516","3,627","2,023","1,604","351,605","159,893","191,712","18,104","8,134","9,970","11,743","5,177","6,566","1,070",345,725,"5,743","3,229","2,514","73,180","32,502","40,678","19,235","8,877","10,358","3,341","1,375","1,966","2,038","1,003","1,035","44,304","21,325","22,979","7,763","3,453","4,310","2,219","1,058","1,161","4,091","2,029","2,062","3,980","2,054","1,926","5,276","2,537","2,739",N,N,N,"21,456","9,614","11,842","21,563","8,692","12,871","9,388","4,529","4,859","6,962","3,651","3,311","2,224","1,168","1,056","5,963","2,542","3,421",693,295,398,"1,382",554,828,"15,230","7,272","7,958",982,492,490,"47,485","20,588","26,897","16,268","8,213","8,055","157,493","63,304","94,189","14,995","7,125","7,870",531,156,375,"9,699","4,624","5,075","5,138","2,176","2,962","9,633","4,120","5,513","16,706","6,481","10,225","2,459","1,263","1,196","5,039","2,044","2,995",805,304,501,"5,090","2,806","2,284","110,638","53,510","57,128","8,353","4,309","4,044",N,N,N,"21,800","8,975","12,825","20,035","9,620","10,415","1,230",782,448,"6,559","3,533","3,026",556,360,196,"80,161","28,889","51,272"
Two or more races,"37,570","16,785","20,785","26,693","13,916","12,777","109,772","54,555","55,217","37,583","19,168","18,415","881,679","440,328","441,351","89,192","43,793","45,399","45,285","21,974","23,311","10,662","6,299","4,363","11,613","5,353","6,260","249,957","121,011","128,946","110,660","50,987","59,673","172,029","86,614","85,415","20,537","10,959","9,578","133,585","64,652","68,933","61,666","28,912","32,754","20,625","8,881","11,744","37,263","19,473","17,790","34,300","16,672","17,628","32,342","15,225","17,117","12,904","6,383","6,521","84,022","38,140","45,882","90,320","44,352","45,968","111,620","52,208","59,412","55,418","27,911","27,507","16,183","7,294","8,889","60,240","32,475","27,765","14,618","7,209","7,409","17,598","8,606","8,992","62,909","30,823","32,086","12,388","6,367","6,021","103,100","50,953","52,147","31,332","15,801","15,531","286,854","132,657","154,197","96,693","45,813","50,880","5,365","2,897","2,468","120,848","59,407","61,441","137,886","64,490","73,396","92,589","47,047","45,542","118,073","54,985","63,088","13,615","5,989","7,626","40,824","19,379","21,445","9,026","4,263","4,763","50,630","23,326","27,304","315,430","151,811","163,619","30,967","14,396","16,571","5,735","2,739","2,996","131,619","64,670","66,949","184,546","91,549","92,997","8,905","4,095","4,810","51,014","26,878","24,136","5,869","3,015","2,854","120,687","58,361","62,326"
    High school graduate or higher,"32,322","14,198","18,124","24,462","12,416","12,046","95,955","47,469","48,486","32,682","16,311","16,371","787,016","391,918","395,098","80,582","39,268","41,314","39,300","19,110","20,190","9,764","5,842","3,922","10,594","4,818","5,776","216,265","103,575","112,690","97,690","44,926","52,764","162,247","82,217","80,030","18,794","9,789","9,005","117,707","56,366","61,341","54,758","25,655","29,103","18,540","7,865","10,675","33,325","17,146","16,179","30,154","14,273","15,881","28,757","13,087","15,670","11,625","5,807","5,818","76,632","34,398","42,234","74,579","36,009","38,570","99,419","45,652","53,767","50,134","25,090","25,044","14,539","6,326","8,213","54,089","29,057","25,032","13,842","7,016","6,826","15,525","7,311","8,214","57,041","28,054","28,987","11,483","5,733","5,750","91,641","45,168","46,473","28,634","14,235","14,399","240,629","110,044","130,585","85,829","39,220","46,609","5,002","2,614","2,388","107,287","52,688","54,599","123,237","55,784","67,453","81,443","39,950","41,493","102,469","47,177","55,292","12,182","5,487","6,695","35,954","16,544","19,410","8,388","4,039","4,349","45,679","21,262","24,417","277,344","133,588","143,756","28,150","13,022","15,128","5,385","2,537","2,848","117,809","57,340","60,469","171,071","84,336","86,735","7,762","3,524","4,238","46,839","24,273","22,566","5,597","2,903","2,694","94,433","45,031","49,402"
    Bachelor's degree or higher,"10,333","4,733","5,600","6,074","2,475","3,599","30,558","14,716","15,842","6,974","3,122","3,852","305,068","143,497","161,571","32,747","15,475","17,272","12,328","5,417","6,911","2,198","1,275",923,"8,127","3,067","5,060","80,144","36,363","43,781","39,372","16,504","22,868","39,682","18,211","21,471","5,856","2,510","3,346","47,883","22,048","25,835","16,763","6,994","9,769","5,098","1,850","3,248","9,697","5,204","4,493","9,419","4,222","5,197","8,792","3,679","5,113","3,410","1,548","1,862","37,431","16,251","21,180","31,848","16,051","15,797","32,802","14,735","18,067","17,237","8,395","8,842","5,509","2,280","3,229","17,894","9,114","8,780","3,946","1,695","2,251","4,519","2,153","2,366","15,067","6,211","8,856","3,871","2,037","1,834","39,547","18,712","20,835","9,982","4,574","5,408","97,360","41,170","56,190","31,953","13,198","18,755","1,760",629,"1,131","29,621","14,057","15,564","31,947","13,623","18,324","24,437","10,871","13,566","35,276","14,506","20,770","3,702","1,464","2,238","11,035","5,357","5,678","1,624",768,856,"15,003","6,561","8,442","98,109","46,055","52,054","10,851","3,913","6,938","2,722",922,"1,800","50,421","22,727","27,694","59,801","28,380","31,421","2,425","1,245","1,180","15,086","7,033","8,053","1,667",708,959,"30,473","11,101","19,372"
Hispanic or Latino Origin,"95,591","52,301","43,290","26,452","13,503","12,949","1,203,000","597,569","605,431","107,132","55,515","51,617","8,921,445","4,445,921","4,475,524","670,114","337,075","333,039","330,633","161,559","169,074","47,762","24,695","23,067","48,455","24,661","23,794","3,545,630","1,711,202","1,834,428","520,525","273,940","246,585","76,514","38,326","38,188","104,078","53,745","50,333","1,234,633","635,214","599,419","230,550","118,509","112,041","88,561","46,375","42,186","169,377","86,994","82,383","76,434","43,254","33,180","140,423","75,388","65,035","10,628","4,996","5,632","345,734","179,013","166,721","454,608","220,268","234,340","259,188","131,663","127,525","146,906","77,244","69,662","42,000","23,779","18,221","128,571","64,946","63,625","18,729","9,777","8,952","102,067","54,288","47,779","483,686","244,922","238,764","26,931","13,582","13,349","1,117,438","553,268","564,170","606,602","296,248","310,354","2,365,690","1,143,191","1,222,499","476,705","243,793","232,912","13,249","7,463","5,786","227,001","115,719","111,282","197,987","103,680","94,307","277,055","145,409","131,646","497,044","249,870","247,174","89,333","43,140","46,193","151,542","81,528","70,014","15,743","9,379","6,364","176,098","96,235","79,863","6,230,377","3,099,806","3,130,571","215,503","110,293","105,210","5,641","2,365","3,276","439,050","223,494","215,556","474,071","248,704","225,367","12,328","5,867","6,461","197,858","102,642","95,216","31,371","17,477","13,894","2,320,692","1,061,631","1,259,061"
    High school graduate or higher,"61,641","33,038","28,603","23,510","11,692","11,818","833,054","405,108","427,946","61,598","32,076","29,522","5,778,718","2,853,002","2,925,716","491,234","243,303","247,931","236,652","112,232","124,420","30,340","15,067","15,273","32,694","16,130","16,564","2,839,672","1,353,719","1,485,953","316,966","158,034","158,932","69,126","34,525","34,601","68,399","34,675","33,724","815,096","408,658","406,438","148,306","73,370","74,936","55,548","28,411","27,137","112,203","55,646","56,557","56,071","30,935","25,136","97,154","49,906","47,248","9,313","4,145","5,168","223,330","111,223","112,107","329,780","156,620","173,160","188,551","93,003","95,548","96,995","49,585","47,410","28,467","15,689","12,778","94,194","45,666","48,528","13,502","6,380","7,122","59,250","30,507","28,743","319,835","158,242","161,593","22,318","10,816","11,502","841,683","409,419","432,264","470,306","226,845","243,461","1,651,191","792,593","858,598","285,893","140,141","145,752","10,550","5,863","4,687","174,259","86,361","87,898","126,333","61,843","64,490","189,004","95,425","93,579","362,806","175,014","187,792","68,980","33,409","35,571","102,805","52,886","49,919","11,790","6,995","4,795","110,059","55,986","54,073","4,124,449","2,010,814","2,113,635","151,108","75,530","75,578","4,819","1,893","2,926","312,476","154,792","157,684","311,860","161,898","149,962","10,111","5,020","5,091","138,378","70,421","67,957","23,657","13,156","10,501","1,764,329","779,344","984,985"
    Bachelor's degree or higher,"16,521","6,658","9,863","5,819","1,841","3,978","156,026","70,048","85,978","11,827","5,967","5,860","1,158,918","520,143","638,775","107,622","50,102","57,520","52,982","22,368","30,614","5,156","2,087","3,069","21,124","9,472","11,652","854,267","385,964","468,303","87,240","42,073","45,167","15,533","6,941","8,592","10,278","4,949","5,329","176,171","80,277","95,894","33,501","15,498","18,003","11,647","5,232","6,415","22,800","11,918","10,882","16,229","8,147","8,082","21,970","10,740","11,230","3,343","1,745","1,598","74,749","33,825","40,924","83,168","36,653","46,515","44,310","19,425","24,885","24,675","11,816","12,859","7,515","2,895","4,620","25,671","11,686","13,985","3,447","1,054","2,393","11,159","5,897","5,262","50,033","24,181","25,852","6,671","3,154","3,517","219,314","97,330","121,984","97,478","43,645","53,833","437,278","184,469","252,809","71,758","32,169","39,589","1,649",523,"1,126","41,896","18,089","23,807","23,254","9,875","13,379","45,799","20,689","25,110","79,830","34,213","45,617","11,841","5,526","6,315","23,622","10,321","13,301","2,800","1,465","1,335","26,844","12,719","14,125","901,164","406,212","494,952","30,966","15,561","15,405","2,608",983,"1,625","109,133","52,659","56,474","76,043","37,865","38,178","3,009","1,201","1,808","29,482","13,179","16,303","4,451","1,989","2,462","593,710","215,886","377,824"
POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Less than high school graduate,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    High school graduate (includes equivalency),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    Some college or associate's degree,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    Bachelor's degree or higher,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population 25 years and over with earnings,"35,578","42,330","29,400","45,018","51,352","36,909","36,923","41,275","32,249","34,062","40,188","29,191","41,122","46,625","35,640","42,324","50,617","36,448","48,506","55,454","40,595","41,815","47,463","37,662","61,641","65,586","58,165","33,638","38,104","30,184","37,173","42,442","31,672","41,518","48,787","36,400","32,470","40,918","25,381","41,505","50,366","34,251","37,460","46,214","30,794","40,006","46,291","31,980","38,513","45,105","31,224","35,714","41,422","30,092","35,479","45,232","28,107","36,494","41,520","31,764","50,160","55,141","43,032","50,590","58,573","42,127","38,116","46,151","31,052","43,424","50,760","37,174","32,374","39,203","27,967","36,565","42,331","31,310","33,210","40,003","28,613","39,578","46,279","32,046","36,423","41,051","31,817","45,390","51,897","36,961","49,671","56,782","40,558","32,343","38,228","29,221","42,525","49,785","38,025","36,420","41,598","31,329","41,527","49,794","35,261","37,915","45,585","31,428","35,198","41,370","29,765","37,424","43,674","31,712","40,695","47,360","33,483","42,886","50,542","37,357","33,596","40,847","29,266","35,955","41,977","30,044","35,588","40,701","30,686","38,425","44,510","31,689","38,828","50,165","28,697","37,444","42,127","32,680","44,823","51,850","36,665","45,115","52,440","36,199","32,951","40,844","27,047","40,653","47,202","33,411","39,090","47,596","31,163","18,282","18,117","18,435"
        Less than high school graduate,"21,601","25,787","15,778","24,222","27,211","20,130","22,121","25,742","17,976","23,439","26,435","20,178","22,648","26,876","17,580","26,069","30,979","19,923","25,393","28,196","19,824","26,364","26,856","21,068","26,686","30,200","20,744","21,666","25,115","17,066","21,993","25,812","16,443","27,415","32,978","22,666","25,230","30,452","15,992","24,957","28,072","19,460","24,213","30,062","18,448","26,975","31,383","20,661","26,056","30,650","17,453","21,842","26,882","16,239","21,789","27,599","15,318","23,092","26,475","17,832","26,309","30,735","20,740","25,757","31,247","20,407","21,773","25,987","16,633","25,012","29,456","20,027","22,273","27,469","15,986","21,779","26,682","16,414","21,588","26,804","12,666","25,515","30,165","18,905","26,840","31,102","21,517","27,050","32,082","20,978","22,930","27,122","18,013","20,428","25,246","15,023","22,323","26,364","18,368","21,705","25,135","16,675","29,167","38,040","20,294","22,520","27,953","15,507","24,007","27,556","16,799","24,475","30,048","18,077","24,849","30,249","17,278","24,243","29,326","19,427","20,823","23,162","16,819","25,976","30,576","17,612","21,842","25,270","17,139","22,860","27,461","16,141","27,134","32,489","19,551","25,372","29,130","16,699","24,777","30,904","17,506","25,668","30,913","19,250","20,106","24,891","13,540","26,564","30,896","19,553","31,014","37,998","20,108","10,116","11,027","8,563"
        High school graduate (includes equivalency),"29,440","35,915","21,671","35,868","41,536","28,778","28,821","32,269","24,030","29,023","34,029","22,364","30,918","35,362","25,482","32,385","37,229","27,251","34,473","41,739","28,665","32,626","38,779","29,555","30,469","31,617","28,005","26,826","30,974","22,462","29,437","33,827","23,334","32,674","40,034","28,770","28,642","32,395","21,834","31,161","38,152","23,920","31,363","38,746","23,137","31,973","39,361","24,034","30,111","36,249","22,326","30,002","35,189","22,642","28,026","37,723","21,420","28,193","35,232","22,895","35,409","41,074","28,385","36,055","43,773","27,458","30,065","36,017","22,321","31,965","38,297","25,719","26,845","31,962","21,168","30,097","35,167","23,665","28,378","33,434","22,823","31,296","37,366","24,409","31,208","35,228","26,942","35,018","41,659","26,826","34,137","41,384","26,542","26,822","31,234","21,654","31,190","36,658","25,219","27,936","31,994","22,346","36,102","41,812","26,370","30,480","36,837","23,063","27,987","34,479","21,649","30,352","34,671","24,289","31,485","38,702","25,123","34,055","40,926","26,028","27,178","31,622","22,153","30,721","36,468","22,968","28,641","32,751","23,137","30,398","35,866","23,463","31,280","39,468","24,137","30,991","35,257","24,168","31,165","37,029","24,353","34,196","41,021","26,326","27,296","35,349","21,797","32,020","39,442","25,014","31,147","40,856","22,313","14,489","15,518","11,967"
        Some college or associate's degree,"32,057","41,440","26,824","41,758","51,169","34,947","35,802","41,321","31,308","31,916","40,119","27,613","38,296","45,303","32,019","37,835","46,067","31,309","42,231","51,511","35,392","36,577","41,848","31,986","41,297","42,168","40,101","32,230","37,346","29,167","35,055","41,935","29,637","40,163","46,044","35,207","30,813","40,249","22,308","36,756","46,312","30,143","35,770","46,624","28,704","36,707","45,247","29,804","34,570","41,623","28,439","32,483","42,850","26,985","32,157","43,564","25,973","34,563","40,763","30,165","42,707","51,294","37,002","41,187","50,258","35,548","34,761","43,573","28,274","40,043","48,016","32,418","31,594","40,111","26,803","33,653","41,104","29,517","30,736","37,352","25,474","36,349","44,973","28,748","36,581","41,507","31,692","41,023","50,529","34,237","41,178","50,158","34,202","31,378","38,831","26,593","38,580","45,448","32,391","32,357","40,703","27,786","39,714","48,709","31,619","35,295","42,346","30,092","32,900","41,256","26,928","35,272","41,621","29,396","36,835","44,994","31,040","39,598","50,520","33,766","31,865","40,901","26,435","34,346","42,125","27,712","33,632","41,099","28,981","36,452","44,803","30,493","34,534","44,477","26,263","35,381","42,941","30,019","37,428","47,267","31,167","39,947","49,972","31,782","32,200","43,002","26,382","37,359","46,582","30,953","36,220","46,173","30,033","17,035","18,551","15,740"
        Bachelor's degree,"49,520","62,626","39,320","56,914","67,437","46,115","51,197","62,280","42,884","46,483","60,496","38,345","60,940","71,972","51,180","52,074","65,419","43,320","61,520","75,824","51,038","57,157","63,198","50,891","65,056","71,849","57,652","45,651","55,077","40,107","51,915","66,163","42,360","50,803","60,750","42,498","42,188","56,986","32,863","56,643","70,329","46,260","50,294","63,047","40,932","50,840","62,120","42,106","49,257","61,614","40,632","46,881","57,029","40,623","48,795","62,405","41,401","44,118","52,701","39,820","61,640","73,235","52,303","62,167","76,218","51,940","51,527","64,861","41,709","56,347","67,075","47,825","41,706","51,862","36,312","48,238","60,405","40,614","40,244","47,985","35,602","50,138","60,441","41,701","48,974","54,958","41,505","56,249","73,955","44,796","63,545","77,071","53,984","42,379","47,284","40,207","60,027","69,070","51,371","50,105","61,871","41,803","50,270","60,567","42,840","51,684","62,492","42,453","46,203","57,888","38,957","48,567","57,483","40,725","51,950","63,953","43,971","55,749","66,256","50,376","46,928","60,700","37,108","44,805","53,522","38,297","46,779","57,168","40,516","54,211","66,875","48,263","47,092","62,050","33,577","40,592","47,438","36,220","58,191","71,921","48,181","59,662","72,369","47,667","43,516","51,607","37,498","51,162","61,790","43,302","47,546","52,196","42,164","24,330","29,441","22,384"
        Graduate or professional degree,"57,213","77,436","51,494","75,748","90,028","70,662","65,573","80,236","54,235","60,011","72,016","52,031","85,555","101,525","72,229","67,553","86,844","55,136","80,966","100,687","67,389","73,360","83,220","67,032","91,724","100,135","86,728","60,959","74,579","51,758","65,479","82,410","56,886","67,836","78,643","60,260","60,976","81,226","45,519","73,296","91,454","62,050","62,356","75,986","56,707","64,908","77,024","60,376","61,088","76,106","51,581","56,704","68,540","52,292","58,960","76,579","51,282","58,537","65,028","55,247","82,432","101,546","71,771","79,988","100,528","68,111","70,518","85,769","59,469","72,143","82,711","64,461","54,539","70,697","47,960","60,056","71,937","51,525","57,421","67,034","50,913","61,324","71,750","55,598","65,557","78,250","58,485","70,295","90,035","60,167","86,548","105,296","70,813","60,401","75,320","51,978","75,012","91,175","65,882","61,504","81,774","51,855","61,798","71,956","58,252","66,321","80,739","57,638","56,850","71,381","47,729","64,380","81,466","54,444","70,080","84,678","60,619","75,258","87,016","69,947","56,616","74,226","50,251","57,922","64,227","51,561","60,242","74,400","51,957","70,427","90,237","59,020","70,156","86,010","53,325","58,628","70,355","54,323","80,946","101,801","62,699","76,407","95,337","65,067","53,919","66,581","50,329","65,006","78,503","57,612","58,518","65,058","53,603","35,433","45,730","31,424"
