"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1557657,"December 9, 2014",Wisconsin,"Rock (county)",N/A,0,1,N/A
260907,"December 8, 2014",Massachusetts,Barnstable,"Mary Dunn Road",0,1,N/A
261120,"December 8, 2014",Iowa,Dubuque,"2000 block of South Park Court",0,0,N/A
261527,"December 8, 2014",Pennsylvania,"Armstrong (county)",N/A,0,1,N/A
261228,"December 8, 2014",Ohio,Hamilton,"New London Road",0,2,N/A
260694,"December 7, 2014",Ohio,Oakwood,N/A,0,1,N/A
260186,"December 7, 2014",Oklahoma,"Elk City",N/A,1,0,N/A
284690,"December 7, 2014",California,"Long Beach","200 block of Granada Avenue",0,0,N/A
284685,"December 7, 2014","North Carolina",Durham,"W. Trinity Avenue",0,0,N/A
260252,"December 7, 2014","South Carolina",Greenville,"Echols Drive",1,0,N/A
260978,"December 7, 2014",Indiana,"Martin (county)",N/A,0,1,N/A
260612,"December 7, 2014",Texas,"Erath (county)",N/A,0,2,N/A
261267,"December 7, 2014","North Dakota",Argusville,N/A,0,1,N/A
260657,"December 6, 2014",Florida,Jacksonville,N/A,0,1,N/A
261117,"December 6, 2014",Florida,"Mary Esther",N/A,0,1,N/A
260008,"December 6, 2014","South Dakota","Sioux Falls","5521 E. Arrowhead Parkway",0,1,N/A
260048,"December 6, 2014",California,Compton,"Crane Avenue",0,0,N/A
259993,"December 6, 2014",Oklahoma,Atoka,"Wells St",1,0,N/A
259886,"December 6, 2014",Illinois,Chicago,"7200 block of South Lowe Avenue",0,1,N/A
259825,"December 6, 2014",Michigan,Jackson,"5000 block of Big Rock St",1,0,N/A
260809,"December 6, 2014",Ohio,Lorain,"Oberlin Avenue",1,0,N/A
282816,"December 5, 2014",Minnesota,Blaine,N/A,0,1,N/A
260135,"December 5, 2014",Texas,Killeen,"800 Kern Rd",0,1,N/A
259631,"December 5, 2014",Illinois,"Villa Park",N/A,1,0,N/A
282491,"December 5, 2014",Illinois,"Oak Park","400 block of Austin Boulevard",0,1,N/A
248999,"December 5, 2014","South Carolina","North Charleston","3748 Old Pine Circle",0,1,N/A
284707,"December 4, 2014",Pennsylvania,Easton,"1200 block of Washington Street",0,1,N/A
249041,"December 4, 2014",Georgia,Savannah,"600 block of W. 54th Street",1,0,N/A
284718,"December 4, 2014",Florida,"Royal Palm Beach","100 block of Bella Vista Way",0,0,N/A
227317,"December 4, 2014",Texas,Arlington,"1200 block of Golden View Court",1,0,N/A
259876,"December 4, 2014",Mississippi,Meridian,"3600 block of 46th St",1,0,N/A
260137,"December 4, 2014",Indiana,Kokomo,"4500 block of West 1300 South Galveston",1,0,N/A
284730,"December 3, 2014",Michigan,Elberta,"718 Lincoln Avenue",0,1,N/A
227243,"December 3, 2014",Kansas,Lawrence,N/A,0,1,N/A
227247,"December 3, 2014","North Carolina",Charlotte,"127 N. Tryon Street",0,1,N/A
388151,"December 2, 2014",Massachusetts,Chicopee,"123 First Avenue",0,1,N/A
